Source,Camera_Name,Camera_ID,Apple_HLS(public),JPEG_URL(public),Latitude,Longitude
Las Vegas,Blue Diamond & Cimarron,2513,https://d1wse1.its.nv.gov:443/vegasxcd01/blue_diamond_and_cimarron_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/vegas_images/blue_diamond_and_cimarron_public.jpg,36.02008,-115.270393
Las Vegas,Blue Diamond & I-15 SB ramp,2010,https://d1wse2.its.nv.gov:443/vegasxcd06/blue_diamond_and_i15_sb_ramp_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/vegas_images/Blue_Diamond_and_I15_SB_ramp_public.jpg,36.043254,-115.181549
Las Vegas,Blue Diamond and Decatur,2172,https://d1wse1.its.nv.gov:443/vegasxcd02/blue_diamond_and_decatur_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/vegas_images/blue_diamond_and_decatur_public.jpg,36.032089,-115.208183
Las Vegas,Blue Diamond and Jones,2408,https://d1wse1.its.nv.gov:443/vegasxcd02/blue_diamond_and_jones_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/vegas_images/blue_diamond_and_jones_public.jpg,36.025291,-115.225875
Las Vegas,Blue DIamond and Rainbow,2321,https://d1wse1.its.nv.gov:443/vegasxcd02/blue_diamond_and_rainbow_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/vegas_images/blue_diamond_and_rainbow_public.jpg,36.02222,-115.243782
Las Vegas,Blue Diamond and Valley View,2283,https://d1wse1.its.nv.gov:443/vegasxcd02/blue_diamond_and_valley_view_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/vegas_images/blue_diamond_and_valley_view_public.jpg,36.0401,-115.190406
Las Vegas,Blue Diamond/Buffalo,2253,https://d1wse2.its.nv.gov:443/vegasxcd06/blue_diamond_and_buffalo_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/vegas_images/blue_diamond_and_buffalo_public.jpg,36.01995,-115.261451
Las Vegas,Blue Diamond/Durango,2228,https://d1wse2.its.nv.gov:443/vegasxcd06/blue_diamond_and_durango_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/vegas_images/blue_diamond_and_durango_public.jpg,36.020149,-115.279022
Las Vegas,Blue Diamond/El Capitan,2537,https://d1wse2.its.nv.gov:443/vegasxcd06/blue_diamond_and_el_capitan_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/vegas_images/blue_diamond_and_el_capitan_public.jpg,36.020595,-115.288764
Las Vegas,Blue Diamond/Fort Apache,2538,https://d1wse2.its.nv.gov:443/vegasxcd06/blue_diamond_and_fort_apache_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/vegas_images/blue_diamond_and_fort_apache_public.jpg,36.020343,-115.29811
Las Vegas,Boulder Highway & Horizon,5004,https://d1wse1.its.nv.gov:443/vegasxcd03/boulder_highway_and_horizon_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/vegas_images/boulder_highway_and_horizon_public.jpg,36.014266,-114.953544
Las Vegas,Boulder Highway & Lamb,2011,https://d1wse1.its.nv.gov:443/vegasxcd03/boulder_highway_and_lamb_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/vegas_images/boulder_highway_and_lamb_public.jpg,36.129867,-115.083961
Las Vegas,Boulder Highway & Major,5007,https://d1wse1.its.nv.gov:443/vegasxcd03/boulder_highway_and_major_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/vegas_images/Boulder_Highway_and_Major_public.jpg,36.029865,-114.97116
Las Vegas,Boulder Highway & Russell,2428,https://d1wse1.its.nv.gov:443/vegasxcd03/boulder_highway_and_russell_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/vegas_images/Boulder_Highway_and_Russell_public.jpg,36.084777,-115.032455
Las Vegas,Boulder Highway & Tropicana,2272,https://d1wse1.its.nv.gov:443/vegasxcd03/boulder_highway_and_tropicana_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/vegas_images/Boulder_Highway_and_Tropicana_public.jpg,36.100811,-115.050796
Las Vegas,Boulder Highway & US 95 NB,2360,https://d1wse1.its.nv.gov:443/vegasxcd03/boulder_highway_and_us_95_nb_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/vegas_images/boulder_highway_and_us_95_nb_public.jpg,36.134868,-115.089622
Las Vegas,Boulder Highway & Warm Springs,5055,https://d1wse1.its.nv.gov:443/vegasxcd03/boulder_highway_and_warm_springs_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/vegas_images/boulder_highway_and_warm_springs_public.jpg,36.050792,-114.994232
Las Vegas,Boulder Hwy & Sunset,5013,https://d1wse2.its.nv.gov:443/vegasxcd05/boulder_hwy_and_sunset_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/vegas_images/boulder_hwy_and_sunset_public.jpg,36.065765,-115.011383
Las Vegas,Boulder Hwy and US 95 SB,2361,https://d1wse1.its.nv.gov:443/vegasxcd03/boulder_hwy_and_us_95_sb_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/vegas_images/boulder_hwy_and_us_95_sb_public.jpg,36.136833,-115.091384
Las Vegas,Buffalo & Cheyenne,3138,https://d1wse2.its.nv.gov:443/vegasxcd05/buffalo_and_cheyenne_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/vegas_images/buffalo_and_cheyenne_public.jpg,36.218124,-115.260658
Las Vegas,Buffalo & I-215 EB Beltway,2152,https://d1wse2.its.nv.gov:443/vegasxcd06/buffalo_and_i-215_eb_beltway_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/vegas_images/buffalo_and_i-215_eb_beltway_public.jpg,36.065055,-115.26065
Las Vegas,Buffalo & I-215 WB Beltway,2151,https://d1wse1.its.nv.gov:443/vegasxcd02/buffalo_and_i-215_wb_beltway_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/vegas_images/buffalo_and_i-215_wb_beltway_public.jpg,36.067173,-115.260643
Las Vegas,Buffalo & Lake Mead,3314,https://d1wse2.its.nv.gov:443/vegasxcd06/buffalo_and_lake_mead_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/vegas_images/buffalo_and_lake_mead_public.jpg,36.196334,-115.260566
Las Vegas,Buffalo & Summerlin N,3493,https://d1wse2.its.nv.gov:443/vegasxcd05/buffalo_and_summerlin_n_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/vegas_images/buffalo_and_summerlin_n_public.jpg,36.179763,-115.259704
Las Vegas,Buffalo & Summerlin S,3492,https://d1wse2.its.nv.gov:443/vegasxcd06/buffalo_and_summerlin_s_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/vegas_images/buffalo_and_summerlin_s_public.jpg,36.178119,-115.259651
Las Vegas,Casino Ctr & Bonneville,3030,https://d1wse2.its.nv.gov:443/vegasxcd05/casino_ctr_and_bonneville_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/vegas_images/casino_ctr_and_bonneville_public.jpg,36.16489,-115.148094
Las Vegas,Casino Ctr & Ogden,3058,https://d1wse2.its.nv.gov:443/vegasxcd05/casino_ctr_and_ogden_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/vegas_images/casino_ctr_and_ogden_public.jpg,36.171947,-115.143135
Las Vegas,Casino Dr/ SR 163 (Laughlin),2198,https://d1wse2.its.nv.gov:443/vegasxcd06/casino_dr_and_sr_163_laughlin_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/vegas_images/Casino_Dr_and_SR_163_Laughlin_public.jpg,35.172321,-114.571365
Las Vegas,CC-215 EB Aliante,707,https://d1wse2.its.nv.gov:443/vegasxcd06/cc-215_eb_aliante_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/vegas_images/cc-215_eb_aliante_public.jpg,36.289299,-115.180099
Las Vegas,CC-215 EB Aviary,709,https://d1wse2.its.nv.gov:443/vegasxcd06/cc-215_eb_aviary_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/vegas_images/cc-215_eb_aviary_public.jpg,36.281398,-115.1902
Las Vegas,CC-215 EB N Decatur,711,https://d1wse2.its.nv.gov:443/vegasxcd06/cc-215_eb_n_decatur_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/vegas_images/cc-215_eb_n_decatur_public.jpg,36.274501,-115.206901
Las Vegas,CC-215 EB N Jones,713,https://d1wse2.its.nv.gov:443/vegasxcd06/cc-215_eb_n_jones_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/vegas_images/cc-215_eb_n_jones_public.jpg,36.2747,-115.2247
Las Vegas,CC-215 WB N Tenaya,715,https://d1wse2.its.nv.gov:443/vegasxcd06/cc-215_wb_n_tenaya_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/vegas_images/cc-215_wb_n_tenaya_public.jpg,36.276298,-115.251899
Las Vegas,Charleston & CC-215 NB,3224,https://d1wse2.its.nv.gov:443/vegasxcd06/charleston_and_cc-215_nb_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/vegas_images/charleston_and_cc-215_nb_public.jpg,36.158786,-115.336631
Las Vegas,Charleston & I515 NB,3327,https://d1wse1.its.nv.gov:443/vegasxcd01/charleston_and_i515_nb_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/vegas_images/charleston_and_i515_nb_public.jpg,36.158695,-115.090522
Las Vegas,Charleston and Buffalo,3454,https://d1wse1.its.nv.gov:443/vegasxcd01/charleston_and_buffalo_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/vegas_images/charleston_and_buffalo_public.jpg,36.158958,-115.262016
Las Vegas,Charleston and Durango,3179,https://d1wse1.its.nv.gov:443/vegasxcd01/charleston_and_durango_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/vegas_images/charleston_and_durango_public.jpg,36.159229,-115.280563
Las Vegas,Charleston and Fremont,3068,https://d1wse1.its.nv.gov:443/vegasxcd03/charleston_and_fremont_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/vegas_images/charleston_and_fremont_public.jpg,36.158985,-115.117111
Las Vegas,Charleston and Grand Central Pkwy,3257,https://d1wse1.its.nv.gov:443/vegasxcd03/charleston_and_grand_central_pkwy_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/vegas_images/charleston_and_grand_central_pkwy_public.jpg,36.159183,-115.158142
Las Vegas,Charleston and Hualapai,3180,https://d1wse1.its.nv.gov:443/vegasxcd01/charleston_and_hualapai_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/vegas_images/charleston_and_hualapai_public.jpg,36.159122,-115.3143
Las Vegas,Charleston and Jones,3071,https://d1wse1.its.nv.gov:443/vegasxcd01/charleston_and_jones_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/vegas_images/charleston_and_jones_public.jpg,36.159072,-115.223686
Las Vegas,Charleston and Pavillion,3223,https://d1wse1.its.nv.gov:443/vegasxcd01/charleston_and_pavillion_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/vegas_images/charleston_and_pavillion_public.jpg,36.159244,-115.330894
Las Vegas,Charleston and Rainbow,3078,https://d1wse1.its.nv.gov:443/vegasxcd01/charleston_and_rainbow_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/vegas_images/charleston_and_rainbow_public.jpg,36.158958,-115.243965
Las Vegas,Charleston and Rampart,3017,https://d1wse1.its.nv.gov:443/vegasxcd01/charleston_and_rampart_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/vegas_images/charleston_and_rampart_public.jpg,36.15924,-115.291671
Las Vegas,Charleston and Rancho,3079,https://d1wse2.its.nv.gov:443/vegasxcd06/charleston_and_rancho_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/vegas_images/charleston_and_rancho_public.jpg,36.158771,-115.17263
Las Vegas,Charleston and Town Center,3183,https://d1wse2.its.nv.gov:443/vegasxcd06/charleston_and_town_center_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/vegas_images/charleston_and_town_center_public.jpg,36.159141,-115.322906
Las Vegas,Cheyenne & CC-215 NB,3293,https://d1wse2.its.nv.gov:443/vegasxcd05/cheyenne_and_cc-215_nb_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/vegas_images/cheyenne_and_cc-215_nb_public.jpg,36.219268,-115.327026
Las Vegas,Cheyenne & MLK,4418,https://d1wse1.its.nv.gov:443/vegasxcd04/cheyenne_and_mlk_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/vegas_images/cheyenne_and_mlk_public.jpg,36.217529,-115.161476
Las Vegas,Craig & Commerce,4006,https://d1wse1.its.nv.gov:443/vegasxcd03/craig_and_commerce_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/vegas_images/craig_and_commerce_public.jpg,36.239341,-115.143508
